ID,President,Years in office,Year first inaugurated,Age at inauguration,State elected from,Occupation,College,Field1
1,George Washington,8,1789,57,Virginia,Planter,None,http://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Gilbert_Stuart_-_George_Washington_-_Google_Art_Project.jpg/150px-Gilbert_Stuart_-_George_Washington_-_Google_Art_Project.jpg
2,John Adams,4,1797,61,Massachusetts,Lawyer,Harvard,http://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Adamstrumbull.jpg/218px-Adamstrumbull.jpg
3,Thomas Jefferson,8,1801,57,Virginia,Planter; Lawyer,William and Mary,http://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Official_Presidential_portrait_of_Thomas_Jefferson_%28by_Rembrandt_Peale%2C_1800%29.jpg/201px-Official_Presidential_portrait_of_Thomas_Jefferson_%28by_Rembrandt_Peale%2C_1800%29.jpg
4,James Madison,8,1809,57,Virginia,Lawyer,Princeton,http://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/James_Madison.jpg/197px-James_Madison.jpg
5,James Monroe,8,1817,58,Virginia,Lawyer,William and Mary,http://upload.wikimedia.org/wikipedia/commons/thumb/9/95/James_Monroe_White_House_portrait_1819.gif/199px-James_Monroe_White_House_portrait_1819.gif#
6,John Quincy Adams,4,1825,57,Massachusetts,Lawyer,Harvard,http://upload.wikimedia.org/wikipedia/commons/thumb/2/25/John_Quincy_Adams_by_GPA_Healy%2C_1858.jpg/183px-John_Quincy_Adams_by_GPA_Healy%2C_1858.jpg#
7,Andrew Jackson,8,1829,61,Tennessee,Lawyer,None,http://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Andrew_jackson_head.jpg/198px-Andrew_jackson_head.jpg
8,Martin Van Buren,4,1837,54,New York,Lawyer,None,http://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Mvanburen.jpeg/179px-Mvanburen.jpeg
9,William Henry Harrison,0.8,1841,68,Ohio,Soldier,Hampden-Sydney,http://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/William_Henry_Harrison_by_James_Reid_Lambdin%2C_1835.jpg/199px-William_Henry_Harrison_by_James_Reid_Lambdin%2C_1835.jpg
10,John Tyler,4,1841,51,Virginia,Lawyer,William and Mary,http://upload.wikimedia.org/wikipedia/commons/thumb/0/00/WHOportTyler.jpg/182px-WHOportTyler.jpg
11,James K. Polk,4,1845,49,Tennessee,Lawyer,U. of North Carolina,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/James_Knox_Polk_by_GPA_Healy%2C_1858.jpg/182px-James_Knox_Polk_by_GPA_Healy%2C_1858.jpg
12,Zachary Taylor,1,1849,64,Louisiana,Soldier,None,http://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Zachary_Taylor_by_Joseph_Henry_Bush%2C_c1848.jpg/184px-Zachary_Taylor_by_Joseph_Henry_Bush%2C_c1848.jpg
13,Millard Fillmore,3,1850,50,New York,Lawyer,None,http://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/Mfillmore.jpeg/149px-Mfillmore.jpeg
14,Franklin Pierce,4,1853,48,New Hampshire,Lawyer,Bowdoin,http://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Franklin_Pierce_by_GPA_Healy%2C_1858.jpg/183px-Franklin_Pierce_by_GPA_Healy%2C_1858.jpg
15,James Buchanan,4,1857,65,Pennsylvania,Lawyer,Dickinson,http://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/James_Buchanan%2C_by_George_Peter_Alexander_Healy.jpg/182px-James_Buchanan%2C_by_George_Peter_Alexander_Healy.jpg
16,Abraham Lincoln,4,1861,52,Illinois,Lawyer,None,http://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Alincoln.jpeg/180px-Alincoln.jpeg
