"ID","President","College","Code","Note"
3,2,1,1,"Adams entered Harvard College in 1751 at the age of 16.  Though his father expected him to become a minister, Adam's interest in law ultimately prevailed."
4,3,2,1,"Jefferson is perhaps most often associated with The University of Virginia, having founded that institution in 1819.  However, Jefferson himself attended William and Mary."
5,4,3,1,"Madison, a Virginian, eschewed nearby William & Mary College, reputedly due to Williamsburg's lowland climate and the prospect of mosquito transmitted disease.  Instead, in 1769, he enrolled at the College of New Jersey, which would later become Princeton."
6,5,2,1,"Monroe enrolled at William & Mary in 1774 at the age of 16.  Just one year later, however, he dropped out of college to join the 3rd Virginia Regiment of the Continental Army.  As a soldier, Monroe saw quite a bit of action, including Washington's crossing of the Delaware and the ensuing Battle of Trenton."
7,6,1,1,"After a period of studying abroad, John Quincy Adams eventually followed in his father's collegiate footsteps.  He earned his B.A. from Harvard in 1787, Phi Beta Kappa.  He later earned an M.A. from that same institution."
8,9,4,1,"Harrison entered Hampden-Sydney in 1787 at the age of 14.  In 1790, his education was cut short when is Episcopalian father removed him from the institution, possibly because of a disagreement with a religious revival occuring at the school."
9,10,2,1,"Like many of the early presidents, Tyler was born to an aristocratic Virginia family.  Following family tradition, Tyler attended William & Mary, where he acquired a lifelong love of Shakespeare.  Adam Smith's Wealth of Nations also made a lasting impression on Tyler."
10,11,5,1,"The nation's first and only Tarheel president entered UNC in 1816.  At that time, the university was a small school of about 80 students.  Polk joined the Dialectic Society, which afforded him the chance to hone his debate and oratory skills.  He shared a room with future Florida governor William Dunn Moseley."
11,14,6,1,"New Hampshire born Pierce entered Bowdoin one of 19 freshmen.  During his time there, he developed a lasting friendship with fellow classmate, Nathaniel Hawthorne.  Pierce also organized and led an unofficial militia company called the Bowdoin Cadets."
12,15,7,1,"The only president to hail from The Keystone State, Buchanan attended Pennsylvania's Dickinson, where he was nearly expelled for poor behavior.  After pleading for a second chance, he managed to mend his ways dramatically and graduate with honors."
13,18,8,1,"Born Hiram Ulysses Grant, our 18th president adopted the historically familiar ""Ulysses S. Grant"" when his congressman mistakenly wrote that name while nominating him to West Point.  The quiet Grant was not a particularly ambitious student but excelled naturally in mathematics and geology.  He was also an expert equestrian."
